region,crop,strategy,a
PO1,cereals,syn,137200.0
PO1,cereals,syn_and_man,32300.0
PO1,ley_silage,syn,9800.0
PO1,ley_silage,syn_and_man,16600.0
PO1,ley_pasture,syn,2900.0
PO1,ley_pasture,syn_and_man,900.0
PO1,other,syn,61800.0
PO1,other,syn_and_man,17100.0
PO2,cereals,syn,68300.0
PO2,cereals,syn_and_man,36500.0
PO2,ley_silage,syn,18600.0
PO2,ley_silage,syn_and_man,55000.0
PO2,ley_pasture,syn,4000.0
PO2,ley_pasture,syn_and_man,800.0
PO2,other,syn,22900.0
PO2,other,syn_and_man,30600.0
PO3,cereals,syn,169700.0
PO3,cereals,syn_and_man,43500.0
PO3,ley_silage,syn,17000.0
PO3,ley_silage,syn_and_man,24200.0
PO3,ley_pasture,syn,3300.0
PO3,ley_pasture,syn_and_man,500.0
PO3,other,syn,27800.0
PO3,other,syn_and_man,6900.0
PO4,cereals,syn,194800.0
PO4,cereals,syn_and_man,37800.0
PO4,ley_silage,syn,34000.0
PO4,ley_silage,syn_and_man,18300.0
PO4,ley_pasture,syn,4200.0
PO4,ley_pasture,syn_and_man,400.0
PO4,other,syn,33500.0
PO4,other,syn_and_man,5700.0
PO5,cereals,syn,41400.0
PO5,cereals,syn_and_man,30700.0
PO5,ley_silage,syn,24500.0
PO5,ley_silage,syn_and_man,100000.0
PO5,ley_pasture,syn,8900.0
PO5,ley_pasture,syn_and_man,2500.0
PO5,other,syn,5600.0
PO5,other,syn_and_man,7000.0
PO6,cereals,syn,17300.0
PO6,cereals,syn_and_man,13300.0
PO6,ley_silage,syn,16000.0
PO6,ley_silage,syn_and_man,13600.0
PO6,ley_pasture,syn,2100.0
PO6,ley_pasture,syn_and_man,200.0
PO6,other,syn,3500.0
PO6,other,syn_and_man,1100.0
PO7,cereals,syn,5000.0
PO7,cereals,syn_and_man,4700.0
PO7,ley_silage,syn,10200.0
PO7,ley_silage,syn_and_man,17100.0
PO7,ley_pasture,syn,2000.0
PO7,ley_pasture,syn_and_man,200.0
PO7,other,syn,1500.0
PO7,other,syn_and_man,400.0
PO8,cereals,syn,6500.0
PO8,cereals,syn_and_man,4300.0
PO8,ley_silage,syn,12200.0
PO8,ley_silage,syn_and_man,22000.0
PO8,ley_pasture,syn,1100.0
PO8,ley_pasture,syn_and_man,500.0
PO8,other,syn,800.0
PO8,other,syn_and_man,400.0
