region,crop,m
PO1,cereals,21080.0
PO1,ley_silage,3650.0
PO1,ley_pasture,230.0
PO1,other,10550.0
PO2,cereals,10310.0
PO2,ley_silage,7730.0
PO2,ley_pasture,310.0
PO2,other,5740.0
PO3,cereals,23140.0
PO3,ley_silage,5050.0
PO3,ley_pasture,240.0
PO3,other,4030.0
PO4,cereals,21500.0
PO4,ley_silage,4820.0
PO4,ley_pasture,290.0
PO4,other,4050.0
PO5,cereals,5630.0
PO5,ley_silage,12880.0
PO5,ley_pasture,620.0
PO5,other,1080.0
PO6,cereals,2370.0
PO6,ley_silage,2600.0
PO6,ley_pasture,
PO6,other,
PO7,cereals,550.0
PO7,ley_silage,2410.0
PO7,ley_pasture,
PO7,other,
PO8,cereals,660.0
PO8,ley_silage,2860.0
PO8,ley_pasture,
PO8,other,
